,country,country_code,year,HIV_total,HIV_new,ART_coverage_pct,chlamydia_cases,syphilis_cases,prep_users_cumulative
2278,Georgia,GEO,2018,6600.0,630.0,70.0,2083.0,1243.0,15.0
2279,Georgia,GEO,2019,7100.0,630.0,71.0,1559.0,1059.0,300.0
2488,Greece,GRC,2018,14000.0,610.0,67.0,61.0,389.0,100.0
2489,Greece,GRC,2019,15000.0,600.0,66.0,62.0,443.0,100.0
2490,Greece,GRC,2020,15000.0,590.0,66.0,66.0,401.0,100.0
2491,Greece,GRC,2021,16000.0,590.0,66.0,45.0,654.0,100.0
2492,Greece,GRC,2022,16000.0,570.0,66.0,59.0,864.0,100.0
2493,Greece,GRC,2023,17000.0,560.0,65.0,96.0,911.0,100.0
2673,Croatia,HRV,2019,1700.0,100.0,76.0,150.0,28.0,70.0
2674,Croatia,HRV,2020,1700.0,100.0,77.0,121.0,22.0,70.0
2675,Croatia,HRV,2021,1700.0,100.0,78.0,115.0,35.0,70.0
2676,Croatia,HRV,2022,1800.0,100.0,82.0,100.0,48.0,70.0
2677,Croatia,HRV,2023,1800.0,100.0,83.0,147.0,36.0,420.0
2851,Ireland,IRL,2022,7900.0,200.0,90.0,10798.0,879.0,8418.0
2852,Ireland,IRL,2023,8600.0,200.0,89.0,12656.0,864.0,8418.0
2962,Iceland,ISL,2019,500.0,100.0,84.0,1795.0,38.0,121.0
2963,Iceland,ISL,2020,500.0,100.0,85.0,1788.0,31.0,121.0
2964,Iceland,ISL,2021,500.0,100.0,84.0,1807.0,50.0,121.0
2965,Iceland,ISL,2022,500.0,100.0,82.0,1853.0,50.0,121.0
2966,Iceland,ISL,2023,500.0,100.0,89.0,1933.0,73.0,210.0
3032,Italy,ITA,2019,140000.0,4200.0,88.0,1109.0,1826.0,532.0
3033,Italy,ITA,2020,140000.0,4100.0,87.0,602.0,843.0,532.0
3034,Italy,ITA,2021,150000.0,4100.0,87.0,1243.0,1614.0,532.0
3035,Italy,ITA,2022,150000.0,4000.0,86.0,1396.0,2544.0,5112.0
3036,Italy,ITA,2023,150000.0,4000.0,86.0,870.0,2538.0,7915.0
3737,Lithuania,LTU,2023,3600.0,200.0,48.0,260.0,75.0,10.0
3768,Luxembourg,LUX,2019,1300.0,100.0,71.0,44.0,51.0,96.0
3769,Luxembourg,LUX,2020,1300.0,100.0,72.0,1003.0,199.0,96.0
3770,Luxembourg,LUX,2021,1400.0,100.0,75.0,1136.0,185.0,118.0
3771,Luxembourg,LUX,2022,1400.0,100.0,82.0,1527.0,151.0,118.0
3772,Luxembourg,LUX,2023,1600.0,100.0,83.0,1636.0,164.0,560.0
4166,Malta,MLT,2023,950.0,100.0,68.0,422.0,123.0,579.0
4651,Netherlands,NLD,2018,24000.0,500.0,85.0,18908.0,1355.0,376.0
4652,Netherlands,NLD,2019,24000.0,500.0,87.0,18148.0,1474.0,3561.0
4653,Netherlands,NLD,2020,24000.0,500.0,87.0,16109.0,1526.0,5916.0
4654,Netherlands,NLD,2021,25000.0,500.0,87.0,20484.0,1684.0,7542.0
4655,Netherlands,NLD,2022,25000.0,500.0,88.0,24685.0,1925.0,7542.0
4656,Netherlands,NLD,2023,25000.0,500.0,89.0,24048.0,2097.0,9782.0
4793,New Zealand,NZL,2018,3600.0,200.0,74.0,31722.0,115067.0,1235.0
4794,New Zealand,NZL,2018,3600.0,200.0,74.0,31722.0,626.0,1235.0
4795,New Zealand,NZL,2019,3700.0,200.0,74.0,32344.0,129827.0,2573.0
4796,New Zealand,NZL,2019,3700.0,200.0,74.0,32344.0,725.0,2573.0
4797,New Zealand,NZL,2020,3800.0,100.0,75.0,26046.0,133960.0,2573.0
4798,New Zealand,NZL,2020,3800.0,100.0,75.0,26046.0,514.0,2573.0
4799,New Zealand,NZL,2021,3900.0,100.0,77.0,25012.0,176739.0,3760.0
4800,New Zealand,NZL,2021,3900.0,100.0,77.0,25012.0,448.0,3760.0
4801,New Zealand,NZL,2022,3900.0,100.0,77.0,25039.0,207269.0,3760.0
4802,New Zealand,NZL,2022,3900.0,100.0,77.0,25039.0,508.0,3760.0
4803,New Zealand,NZL,2023,4000.0,100.0,83.0,28166.0,209253.0,4604.0
4804,New Zealand,NZL,2023,4000.0,100.0,83.0,28166.0,736.0,4604.0
5850,Slovenia,SVN,2019,800.0,100.0,81.0,397.0,54.0,70.0
5851,Slovenia,SVN,2020,840.0,100.0,84.0,280.0,31.0,70.0
5852,Slovenia,SVN,2021,880.0,100.0,82.0,369.0,37.0,70.0
5853,Slovenia,SVN,2022,910.0,100.0,83.0,412.0,34.0,70.0
5854,Slovenia,SVN,2023,940.0,100.0,84.0,464.0,78.0,280.0
